liquor,location
Amaretto,gun
Amarula,gun
Apple Juice,cooler
Apricot Brandy,gun
Baileys,gun
Bitters,base
Blue Curacao,gun
Bourbon,gun
Butter Ripple Schnapps,gun
Campari,gun
Chambord,gun
Chartreuse Vert,gun
Cherry Brandy,gun
Club Soda,cooler
Coffee,extra
Cognac,gun
Cola,cooler
Cranberry Juice,cooler
Cream,extra
Crème de Bananes,gun
Crème de Cacao,gun
Crème de Menthe,gun
Drambuie,gun
Dry Vermouth,gun
Fireball,gun
Galliano,gun
Gin,gun
Ginger Ale,cooler
Ginger Beer,extra
Goldschlager,gun
Grapefruit Juice,cooler
Grenadine,cooler
Hazelnut Liqueur,gun
Irish Whiskey,gun
Jack Daniel's Honey,gun
Jagermeister,gun
Kahlua,gun
Lemon Juice,cooler
Lime Cordial,cooler
Lime Juice,cooler
Limoncello,gun
Lychee Liqueur,gun
Malibu,gun
Melon Liqueur,gun
Milk,cooler
Orange Bitters,base
Orange Juice,cooler
Orange Liqueur,gun
Peach Schnapps,gun
Peppermint Schnapps,gun
Pineapple Juice,cooler
Root Beer,cooler
Rum - Dark,gun
Rum - Light,gun
Rum - Spiced,gun
Rye,gun
Scotch,gun
Simple Syrup,cooler
Sour Puss Apple,gun
Sour Puss Raspberry,gun
Southern Comfort,gun
Sweet Vermouth,gun
Tequila,gun
Tonic Water,gun
Triple Sec,gun
Vodka,gun
